,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date,daysSinceLastDividend
31,AEG,Aegon NV,NYSE,Finance,Life Insurance,0.14,1597968000.0,0,0.0,0.0,0.0,0.0,2020-08-12,-,-,-,,-9.0
32,AER,Aercap Holdings N.V.,NYSE,Technology,Diversified Commercial Services,,0.0,0,0.0,2.0,0.0,0.0,2020-07-28,1.37,1.92,+39.74,2020-11-06,0.0
33,AFL,Aflac Incorporated,NYSE,Finance,Accident &Health Insurance,1.12,1597708800.0,0,0.0,0.0,0.0,3.0,2020-07-27,1.07,1.28,+20.08,2020-10-27,-22.0
34,MITT,"AG Mortgage Investment Trust, Inc.",NYSE,,,,1577664000.0,0,0.0,0.0,1.0,0.0,2020-06-11,0.3,0.34,+14.09,2020-11-02,164.0
35,AGCO,AGCO Corporation,NYSE,Capital Goods,Industrial Machinery/Components,0.64,1597276800.0,0,0.0,0.0,0.0,4.0,2020-07-29,0.08,1.11,+1221.43,2020-10-27,-15.0
36,A,"Agilent Technologies, Inc.",NYSE,Capital Goods,Biotechnology: Laboratory Analytical Instruments,0.72,1593388800.0,0,0.0,2.0,0.0,3.0,2020-08-17,0.66,0.78,+17.65,2020-11-23,49.0
37,AEM,Agnico Eagle Mines Limited,NYSE,Basic Industries,Precious Metals,0.8,1606176000.0,0,0.0,1.0,0.0,0.0,2020-07-28,0.2,0.18,-11.33,,-119.0
38,AL,Air Lease Corporation,NYSE,Technology,Diversified Commercial Services,0.6,1599696000.0,0,0.0,1.0,0.0,0.0,2020-08-05,1.06,1.26,+19.21,2020-11-05,-36.0
39,APD,"Air Products and Chemicals, Inc.",NYSE,Basic Industries,Major Chemicals,5.36,1601424000.0,0,0.0,6.0,0.0,2.0,2020-07-22,1.99,2.01,+1.16,2020-11-05,-70.0
40,ALG,"Alamo Group, Inc.",NYSE,Capital Goods,Industrial Machinery/Components,0.52,1594771200.0,0,0.0,1.0,0.0,0.0,2020-07-28,0.81,1.06,+31.35,2020-10-28,13.0
41,AGI,Alamos Gold Inc.,NYSE,Basic Industries,Precious Metals,0.06,1600128000.0,0,0.0,0.0,0.0,0.0,2020-07-28,0.03,0.03,+3.45,,-49.0
42,ALK,"Alaska Air Group, Inc.",NYSE,Transportation,Air Freight/Delivery Services,,1581638400.0,0,0.0,2.0,0.0,1.0,2020-07-22,-3.73,-3.54,+5.17,2020-10-22,159.0
43,AIN,Albany International Corporation,NYSE,Basic Industries,Textiles,0.76,1599177600.0,0,0.0,0.0,0.0,1.0,2020-07-28,0.67,1.09,+62.2,2020-10-27,-38.0
44,ALB,Albemarle Corporation,NYSE,Basic Industries,Major Chemicals,1.54,1600300800.0,0,0.0,2.0,2.0,5.0,2020-08-04,0.73,0.86,+18.13,2020-11-04,-44.0
45,AA,Alcoa Corporation,NYSE,Basic Industries,Aluminum,,0.0,0,0.0,3.0,0.0,5.0,2020-07-14,-0.38,-0.02,+94.81,2020-10-14,0.0
46,ALC,Alcon Inc.,NYSE,Health Care,Ophthalmic Goods,,0.0,0,0.0,0.0,0.0,0.0,2020-08-17,-0.14,-0.21,-45.83,,0.0
47,ALEX,"Alexander & Baldwin, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,0.76,1583452800.0,0,0.0,0.0,0.0,0.0,2020-08-05,-0.02,-0.07,-250,,152.0
48,AQN,Algonquin Power & Utilities Corp.,NYSE,Public Utilities,Electric Utilities: Central,0.62,1601337600.0,0,0.0,0.0,0.0,2.0,2020-08-12,0.12,0.09,-23.08,,-48.0
49,BABA,Alibaba Group Holding Limited,NYSE,Miscellaneous,Business Services,,0.0,0,0.0,3.0,0.0,1.0,2020-08-19,13.77,14.82,+7.59,2020-10-30,0.0
50,Y,Alleghany Corporation,NYSE,Finance,Property-Casualty Insurers,,543542400.0,0,0.0,1.0,0.0,0.0,2020-08-03,4.36,0.86,-80.28,2020-11-03,12186.0
51,ATI,Allegheny Technologies Incorporated,NYSE,Basic Industries,Steel/Iron Ore,,1471305600.0,0,0.0,0.0,1.0,0.0,2020-08-03,-0.12,-0.02,+82.91,2020-10-29,1448.0
52,ALLE,Allegion plc,NYSE,Consumer Services,Diversified Commercial Services,1.28,1600128000.0,0,0.0,0.0,1.0,5.0,2020-07-22,0.84,0.92,+9,2020-10-22,-55.0
53,ALE,"Allete, Inc.",NYSE,Public Utilities,Power Generation,2.47,1597276800.0,0,0.0,0.0,1.0,1.0,2020-08-04,0.67,0.39,-41.62,2020-11-04,-9.0
54,ADS,Alliance Data Systems Corporation,NYSE,Miscellaneous,Business Services,0.84,1597276800.0,0,0.0,4.0,0.0,2.0,2020-07-22,1.08,1.86,+72.22,2020-10-22,-22.0
55,AWF,Alliance World Dollar Government Fund II,NYSE,,,0.79,1599091200.0,0,0.0,0.0,0.0,0.0,2020-08-28,-,-,-,2020-11-27,-6.0
56,AB,AllianceBernstein Holding L.P.,NYSE,Finance,Investment Managers,2.44,1596153600.0,0,0.0,1.0,0.0,1.0,2020-07-22,0.61,0.61,-0.33,2020-10-22,-9.0
57,NFJ,"AllianzGI Dividend, Interest & Premium Strategy Fu",NYSE,Finance,Finance: Consumer Services,0.9,1599782400.0,0,0.0,0.0,0.0,0.0,2020-06-29,-,-,-,2020-09-21,-74.0
58,ALSN,"Allison Transmission Holdings, Inc.",NYSE,Capital Goods,Auto Parts:O.E.M.,0.68,1597968000.0,0,0.0,1.0,0.0,1.0,2020-08-03,0.17,0.29,+70.59,2020-10-28,-18.0
59,ALL,Allstate Corporation (The),NYSE,Finance,Property-Casualty Insurers,2.16,1598486400.0,0,0.0,0.0,0.0,3.0,2020-08-03,1.55,2.46,+58.81,2020-11-04,-24.0
60,ALLY,Ally Financial Inc.,NYSE,Finance,Major Banks,0.76,1596067200.0,0,0.0,7.0,1.0,2.0,2020-07-16,0.28,0.61,+121.01,2020-10-14,-14.0
61,PINE,"Alpine Income Property Trust, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,0.8,1600041600.0,0,0.0,0.0,0.0,0.0,2020-07-21,-,0.03,-,,-55.0
62,ALTG,Alta Equipment Group Inc.,NYSE,Capital Goods,Industrial Machinery/Components,,0.0,0,0.0,1.0,0.0,0.0,2020-08-12,-0.09,-0.14,-47.37,,0.0
63,AYX,"Alteryx, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,,0.0,0,0.0,6.0,0.0,0.0,2020-08-05,-0.14,0.02,+114.29,2020-10-29,0.0
64,ATUS,"Altice USA, Inc.",NYSE,Consumer Services,Television Services,,1528329600.0,0,0.0,1.0,0.0,2.0,2020-07-29,0.15,0.19,+24.18,2020-11-03,783.0
65,MO,Altria Group,NYSE,Consumer Non-Durables,Farming/Seeds/Milling,3.44,1600041600.0,0,0.0,2.0,0.0,2.0,2020-07-27,1.06,1.09,+3.12,2020-10-30,-49.0
66,AMBC,"Ambac Financial Group, Inc.",NYSE,Finance,Property-Casualty Insurers,,0.0,0,0.0,0.0,0.0,0.0,2020-08-05,-0.61,-0.52,+15.17,2020-11-04,0.0
67,AMBC,"Ambac Financial Group, Inc.",Nasdaq,Finance,Property-Casualty Insurers,,0.0,0,0.0,0.0,0.0,0.0,2020-08-05,-0.61,-0.52,+15.17,2020-11-04,0.0
68,ABEV,Ambev S.A.,NYSE,Consumer Non-Durables,Beverages (Production/Distribution),0.12,1576800000.0,0,0.0,0.0,0.0,0.0,2020-07-30,0.01,0.02,+45.45,,223.0
69,AMC,"AMC Entertainment Holdings, Inc.",NYSE,Consumer Services,Movies/Entertainment,0.12,1583452800.0,0,0.0,0.0,2.0,4.0,2020-08-05,-4.31,-5.38,-24.8,2020-11-05,152.0
70,AMCR,Amcor plc,NYSE,Consumer Durables,Miscellaneous manufacturing industries,0.46,1599004800.0,0,0.0,0.0,0.0,0.0,2020-08-17,0.19,0.19,-1.04,,-16.0
71,AEE,Ameren Corporation,NYSE,Public Utilities,Power Generation,1.98,1599523200.0,0,0.0,2.0,0.0,2.0,2020-08-05,0.87,0.98,+12.13,2020-11-04,-34.0
72,AMX,"America Movil, S.A.B. de C.V.",NYSE,Public Utilities,Telecommunications Equipment,0.34,1592352000.0,0,0.0,1.0,0.0,0.0,2020-07-13,0.32,0.26,-18.24,,26.0
73,AAT,"American Assets Trust, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,1.0,1599609600.0,0,0.0,2.0,0.0,1.0,2020-07-27,0.11,0.13,+18.18,2020-10-27,-44.0
74,AXL,"American Axle & Manufacturing Holdings, Inc.",NYSE,Capital Goods,Auto Parts:O.E.M.,,1228348800.0,0,0.0,0.0,0.0,2.0,2020-07-30,-1.98,-1.79,+9.69,2020-10-30,4256.0
75,AEO,"American Eagle Outfitters, Inc.",NYSE,Consumer Services,Clothing/Shoe/Accessory Stores,0.14,1617840000.0,0,0.0,2.0,0.0,0.0,2020-09-08,-0.16,-0.03,+81.01,2020-12-09,-212.0
76,AEP,"American Electric Power Company, Inc.",NYSE,Public Utilities,Electric Utilities: Central,2.8,1596758400.0,0,0.0,4.0,0.0,0.0,2020-08-05,1.06,1.08,+1.79,2020-10-22,-2.0
77,AEL,American Equity Investment Life Holding Company,NYSE,Finance,Life Insurance,0.3,1575244800.0,0,0.0,0.0,0.0,2.0,2020-08-04,1.16,1.01,-12.86,2020-11-04,246.0
78,AXP,American Express Company,NYSE,Finance,Finance: Consumer Services,1.72,1593561600.0,0,0.0,4.0,2.0,6.0,2020-07-23,-0.11,0.29,+354.39,2020-10-16,22.0
79,AFG,"American Financial Group, Inc.",NYSE,Finance,Property-Casualty Insurers,2.0,1594684800.0,0,0.0,0.0,0.0,1.0,2020-08-03,1.44,1.05,-26.93,2020-10-27,20.0
80,AFGD,"American Financial Group, Inc.",NYSE,Finance,Property-Casualty Insurers,,0.0,0,0.0,0.0,0.0,0.0,2020-08-03,1.44,1.05,-26.93,,0.0
81,AMH,American Homes 4 Rent,NYSE,Consumer Services,Real Estate Investment Trusts,0.2,1600041600.0,0,0.0,3.0,0.0,1.0,2020-08-05,0.03,0.05,+78.57,2020-11-05,-40.0
82,ARL,"American Realty Investors, Inc.",NYSE,Finance,Real Estate,,0.0,0,0.0,0.0,0.0,0.0,2020-08-14,-,-,-,,0.0
83,AMT,American Tower Corporation (REIT),NYSE,Consumer Services,Real Estate Investment Trusts,4.33,1600992000.0,0,0.0,3.0,0.0,2.0,2020-07-29,1.03,1,-3.38,2020-10-29,-58.0
84,AVD,American Vanguard Corporation,NYSE,Basic Industries,Agricultural Chemicals,,1585094400.0,0,0.0,0.0,0.0,0.0,2020-08-05,0.11,0.13,+18.18,,133.0
85,AWK,American Water Works,NYSE,Public Utilities,Water Supply,2.2,1597104000.0,0,0.0,0.0,1.0,1.0,2020-08-04,0.96,0.97,+0.83,2020-10-28,-7.0
86,COLD,Americold Realty Trust,NYSE,Consumer Services,Real Estate Investment Trusts,0.84,1601337600.0,0,0.0,2.0,0.0,0.0,2020-08-05,0.14,0.16,+11.89,2020-11-05,-55.0
87,AMP,"AMERIPRISE FINANCIAL SERVICES, LLC",NYSE,Finance,Investment Managers,4.16,1596758400.0,0,0.0,4.0,0.0,2.0,2020-07-28,2.46,2.64,+7.27,2020-10-21,-10.0
88,ABC,AmerisourceBergen Corporation (Holding Co),NYSE,Health Care,Other Pharmaceuticals,1.68,1597363200.0,0,0.0,2.0,1.0,2.0,2020-08-04,1.57,1.85,+17.76,2020-11-05,-10.0
89,AMN,AMN Healthcare Services Inc,NYSE,Technology,Professional Services,,0.0,0,0.0,4.0,0.0,1.0,2020-08-05,0.64,0.83,+30.3,2020-10-29,0.0
90,AMRX,"Amneal Pharmaceuticals, Inc.",NYSE,Health Care,Major Pharmaceuticals,,0.0,0,0.0,1.0,0.0,2.0,2020-08-05,0.1,0.13,+34.02,,0.0
91,AP,Ampco-Pittsburgh Corporation,NYSE,Capital Goods,Fluid Controls,,1491868800.0,0,0.0,0.0,0.0,0.0,2020-08-04,-0.48,0.05,+110.42,,1211.0
92,APH,Amphenol Corporation,NYSE,Capital Goods,Electrical Products,1.0,1600041600.0,0,0.0,2.0,0.0,2.0,2020-07-21,0.63,0.81,+29.6,2020-10-21,-55.0
93,AXR,AMREP Corporation,NYSE,Consumer Services,Newspapers/Magazines,,1186531200.0,0,0.0,0.0,0.0,0.0,2020-09-08,-,-,-,,4780.0
94,AME,"AMTEK, Inc.",NYSE,Consumer Durables,Metal Fabrications,0.72,1599782400.0,0,0.0,4.0,0.0,2.0,2020-08-03,0.72,0.84,+16.5,2020-10-29,-39.0
95,PLAN,"Anaplan, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,,0.0,0,0.0,2.0,0.0,1.0,2020-08-25,-0.12,-0.04,+66.94,2020-11-19,0.0
96,AU,AngloGold Ashanti Limited,NYSE,Basic Industries,Precious Metals,0.09,1583971200.0,0,0.0,1.0,0.0,0.0,2020-08-06,0.95,0.63,-33.33,,147.0
97,BUD,Anheuser-Busch Inbev SA,NYSE,Consumer Non-Durables,Beverages (Production/Distribution),1.45,1591660800.0,0,0.0,0.0,0.0,2.0,2020-07-29,0.24,0.46,+93.28,,50.0
98,NLY,Annaly Capital Management Inc,NYSE,Consumer Services,Real Estate Investment Trusts,0.88,1601337600.0,0,0.0,4.0,0.0,2.0,2020-07-28,0.22,0.27,+21.08,2020-10-28,-63.0
99,AM,Antero Midstream Corporation,NYSE,Public Utilities,Natural Gas Distribution,1.23,1595980800.0,0,0.0,0.0,0.0,0.0,2020-07-28,0.22,0.18,-16.28,2020-10-27,-1.0
100,AR,Antero Resources Corporation,NYSE,Energy,Oil & Gas Production,,0.0,0,0.0,0.0,4.0,3.0,2020-07-28,-0.16,-0.37,-128.4,2020-10-27,0.0
101,ANTM,"Anthem, Inc.",NYSE,Health Care,Medical Specialities,3.8,1599609600.0,0,0.0,3.0,0.0,2.0,2020-07-28,8.88,9.2,+3.66,2020-10-28,-43.0
102,AON,Aon plc,NYSE,Finance,Specialty Insurers,1.76,1596153600.0,0,0.0,3.0,0.0,2.0,2020-07-30,1.93,1.96,+1.61,2020-10-26,-1.0
103,APG,APi Group Corporation,NYSE,Basic Industries,Engineering & Construction,,0.0,0,0.0,0.0,0.0,0.0,2020-08-11,0.12,0.32,+160.16,,0.0
104,ARI,Apollo Commercial Real Estate Finance,NYSE,Consumer Services,Real Estate Investment Trusts,1.4,1593388800.0,0,0.0,0.0,0.0,1.0,2020-07-29,0.29,-0.07,-124.14,2020-10-21,30.0
105,APO,"Apollo Global Management, Inc",NYSE,Finance,Investment Managers,1.96,1597622400.0,0,0.0,3.0,0.0,6.0,2020-07-29,0.48,0.46,-3.56,2020-10-29,-19.0
106,APLE,"Apple Hospitality REIT, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,,1583193600.0,0,0.0,0.0,0.0,1.0,2020-08-05,-0.29,-0.35,-18.64,2020-11-02,155.0
107,AIT,"Applied Industrial Technologies, Inc.",NYSE,Consumer Durables,Industrial Specialties,1.28,1597276800.0,0,0.0,1.0,0.0,0.0,2020-08-11,0.68,0.8,+17.65,2020-10-28,-2.0
