"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"RGR","Sturm, Ruger & Company, Inc.","73.28","$1.28B","n/a","Capital Goods","Ordnance And Accessories","https://old.nasdaq.com/symbol/rgr"
"SPH","Suburban Propane Partners, L.P.","13.34","$829.03M","1996","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/sph"
"SMFG","Sumitomo Mitsui Financial Group Inc","5.94","$40.7B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/smfg"
"INN","Summit Hotel Properties, Inc.","5.86","$619.38M","2011","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/inn"
"INN^D","Summit Hotel Properties, Inc.","21.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/inn^d"
"INN^E","Summit Hotel Properties, Inc.","21.06","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/inn^e"
"SUM","Summit Materials, Inc.","15.61","$1.78B","2015","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/sum"
"SMLP","Summit Midstream Partners, LP","0.8","$44.7M","2012","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/smlp"
"SUI","Sun Communities, Inc.","151.15","$14.85B","1993","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sui"
"SLF","Sun Life Financial Inc.","42.72","$24.98B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/slf"
"SXC","SunCoke Energy, Inc.","3.43","$283.89M","2011","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/sxc"
"SU","Suncor Energy  Inc.","15.92","$24.28B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/su"
"STG","Sunlands Technology Group","1.66","$279.26M","2018","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/stg"
"NOVA","Sunnova Energy International Inc.","23.82","$2.03B","2019","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/nova"
"SUN","Sunoco LP","26.18","$2.17B","2012","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/sun"
"SHO","Sunstone Hotel Investors, Inc.","8.33","$1.8B","2004","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/sho"
"SHO^E","Sunstone Hotel Investors, Inc.","24.39","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sho^e"
"SHO^F","Sunstone Hotel Investors, Inc.","24.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sho^f"
"SPN","Superior Energy Services, Inc.","0.9777","$14.5M","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/spn"
"SUP","Superior Industries International, Inc.","1.49","$38.13M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/sup"
"SOAC","Sustainable Opportunities Acquisition Corp.","9.838","$368.93M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/soac"
"SOAC.U","Sustainable Opportunities Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/soac.u"
"SOAC.WS","Sustainable Opportunities Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/soac.ws"
"SUZ","Suzano S.A.","9.13","$12.32B","2018","Basic Industries","Paper","https://old.nasdaq.com/symbol/suz"
