"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"FTLB","First Trust Hedged BuyWrite Income ETF","20.3501","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftlb"
"HYLS","First Trust High Yield Long/Short ETF","47.875","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hyls"
"FHK","First Trust Hong Kong AlphaDEX Fund","33.9755","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhk"
"NFTY","First Trust India Nifty 50 Equal Weight ETF","32.0801","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nfty"
"FTAG","First Trust Indxx Global Agriculture ETF","22.395","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftag"
"FTRI","First Trust Indxx Global Natural Resources Income ETF","10.4","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftri"
"LEGR","First Trust Indxx Innovative Transaction & Process ETF","33.395","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/legr"
"NXTG","First Trust Indxx NextG ETF","61.3272","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nxtg"
"FPXI","First Trust International Equity Opportunities ETF","60.2395","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fpxi"
"FPXE","First Trust IPOX Europe Equity Opportunities ETF","25.761","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fpxe"
"FJP","First Trust Japan AlphaDEX Fund","48.63","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fjp"
"FEX","First Trust Large Cap Core AlphaDEX Fund","66.6297","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fex"
"FTC","First Trust Large Cap Growth AlphaDEX Fund","88.68","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftc"
"RNLC","First Trust Large Cap US Equity Select ETF","25.1498","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rnlc"
"FTA","First Trust Large Cap Value AlphaDEX Fund","49.2469","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fta"
"FLN","First Trust Latin America AlphaDEX Fund","16.0544","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fln"
"LMBS","First Trust Low Duration Opportunities ETF","51.76","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lmbs"
"LDSF","First Trust Low Duration Strategic Focus ETF","20.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ldsf"
"FMB","First Trust Managed Municipal ETF","55.7146","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fmb"
"FMK","First Trust Mega Cap AlphaDEX Fund","40.82","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fmk"
"FNX","First Trust Mid Cap Core AlphaDEX Fund","69.3993","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fnx"
"FNY","First Trust Mid Cap Growth AlphaDEX Fund","54.83","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fny"
"RNMC","First Trust Mid Cap US Equity Select ETF","21","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rnmc"
"FNK","First Trust Mid Cap Value AlphaDEX Fund","29.6686","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fnk"
"FAD","First Trust Multi Cap Growth AlphaDEX Fund","89.9182","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fad"
"FAB","First Trust Multi Cap Value AlphaDEX Fund","49.51","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fab"
"MDIV","First Trust Multi-Asset Diversified Income Index Fund","14.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mdiv"
"MCEF","First Trust Municipal CEF Income Opportunity ETF","19.325","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mcef"
"FMHI","First Trust Municipal High Income ETF","51.96","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fmhi"
"QABA","First Trust NASDAQ ABA Community Bank Index Fund","35.11","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/qaba"
"ROBT","First Trust Nasdaq Artificial Intelligence and Robotics ETF","41.2064","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/robt"
"FTXO","First Trust Nasdaq Bank ETF","18.2477","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftxo"
"QCLN","First Trust NASDAQ Clean Edge Green Energy Index Fund","43.43","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/qcln"
"GRID","First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ","65.4319","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/grid"
"CIBR","First Trust NASDAQ Cybersecurity ETF","37.74","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cibr"
"FTXG","First Trust Nasdaq Food & Beverage ETF","21.77","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftxg"
"CARZ","First Trust NASDAQ Global Auto Index Fund","39.2299","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/carz"
"FTXN","First Trust Nasdaq Oil & Gas ETF","10.79","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftxn"
"FTXH","First Trust Nasdaq Pharmaceuticals ETF","24.59","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftxh"
"FTXD","First Trust Nasdaq Retail ETF","27.3155","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftxd"
"FTXL","First Trust Nasdaq Semiconductor ETF","50.07","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftxl"
"TDIV","First Trust NASDAQ Technology Dividend Index Fund","46.86","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdiv"
"FTXR","First Trust Nasdaq Transportation ETF","24.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftxr"
"QQEW","First Trust NASDAQ-100 Equal Weighted Index Fund","91.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/qqew"
"QQXT","First Trust NASDAQ-100 Ex-Technology Sector Index Fund","71.4532","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/qqxt"
"QTEC","First Trust NASDAQ-100- Technology Index Fund","126.83","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/qtec"
"AIRR","First Trust RBA American Industrial Renaissance ETF","27.5901","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/airr"
"RDVY","First Trust Rising Dividend Achievers ETF","34.47","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rdvy"
"RFAP","First Trust RiverFront Dynamic Asia Pacific ETF","50.14","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rfap"
"RFDI","First Trust RiverFront Dynamic Developed International ETF","58.29","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rfdi"
"RFEM","First Trust RiverFront Dynamic Emerging Markets ETF","62.74","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rfem"
"RFEU","First Trust RiverFront Dynamic Europe ETF","59.0269","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rfeu"
"FID","First Trust S&P International Dividend Aristocrats ETF","14.93","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fid"
"FTSL","First Trust Senior Loan Fund ETF","46.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftsl"
"FYX","First Trust Small Cap Core AlphaDEX Fund","61.4035","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fyx"
"FYC","First Trust Small Cap Growth AlphaDEX Fund","49.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fyc"
"RNSC","First Trust Small Cap US Equity Select ETF","19.6498","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rnsc"
"FYT","First Trust Small Cap Value AlphaDEX Fund","33.3487","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fyt"
"SDVY","First Trust SMID Cap Rising Dividend Achievers ETF","19.2919","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sdvy"
"FKO","First Trust South Korea AlphaDEX Fund","19.62","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fko"
"FCVT","First Trust SSI Strategic Convertible Securities ETF","41.93","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fcvt"
"FDIV","First Trust Strategic Income ETF","46.1097","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fdiv"
"FSZ","First Trust Switzerland AlphaDEX Fund","55.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fsz"
"FIXD","First Trust TCW Opportunistic Fixed Income ETF","55.48","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fixd"
"TUSA","First Trust Total US Market AlphaDEX ETF","35.0793","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tusa"
"FKU","First Trust United Kingdom AlphaDEX Fund","32.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fku"
"RNDV","First Trust US Equity Dividend Select ETF","22.44","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rndv"
"FUNC","First United Corporation","11.02","$76.97M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/func"
"FUSB","First US Bancshares, Inc.","6.9","$42.62M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fusb"
"MYFW","First Western Financial, Inc.","13.4","$106.55M","2018","Finance","Major Banks","https://old.nasdaq.com/symbol/myfw"
"FCFS","FirstCash, Inc.","60.81","$2.52B","1991","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/fcfs"
"SVVC","Firsthand Technology Value Fund, Inc.","4.69","$32.33M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/svvc"
