,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date
452,LAC,Lithium Americas Corp.,NYSE,Basic Industries,Precious Metals,,,,,0,0,0,2020-08-13,-0.1,-0.07,+30,
453,LMT,Lockheed Martin Corporation,NYSE,Capital Goods,Military/Government/Technical,9.6,1598832000,,,1,0,1,2020-07-20,5.72,5.79,+1.21,2020-10-20
454,LOW,"Lowe&#39;s Companies, Inc.",NYSE,Consumer Services,RETAIL: Building Materials,2.4,1603152000,,,15,0,0,2020-08-18,2.95,3.75,+27.25,2020-11-18
455,LUB,"Luby&#39;s, Inc.",NYSE,Consumer Services,Restaurants,,968198400,,,0,0,0,2020-06-03,-,-,-,
456,MTB,M&T Bank Corporation,NYSE,Finance,Major Banks,4.4,1598832000,,,0,0,4,2020-07-22,1.65,1.74,+5.39,2020-10-22
457,MAC,Macerich Company (The),NYSE,Consumer Services,Real Estate Investment Trusts,0.6,1597708800,,,0,1,4,2020-08-11,-0.3,-0.18,+40,2020-10-29
458,BMA,Macro Bank Inc.,NYSE,Finance,Commercial Banks,,1557446400,,,0,1,0,2020-08-31,1.91,1.48,-22.29,
459,M,Macy&#39;s Inc,NYSE,Consumer Services,Department/Specialty Retail Stores,,1583971200,,,0,4,0,2020-09-01,-1.77,-0.81,+54.19,2020-11-19
460,MSGS,Madison Square Garden Sports Corp.,NYSE,Consumer Services,Services-Misc. Amusement & Recreation,,,,,0,0,0,2020-08-13,-2.03,-3.27,-61.32,2020-11-06
461,MKC,"McCormick & Company, Incorporated",NYSE,Consumer Non-Durables,Packaged Foods,2.48,1593648000,,,1,2,5,2020-06-24,1.16,1.47,+27.27,2020-09-29
462,MDLA,"Medallia, Inc.",NYSE,Technology,"Computer Software: Programming, Data Processing",,,,,0,0,0,2020-09-02,-,0.01,+1100,2020-12-03
463,MDT,Medtronic plc,NYSE,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,2.32,1600905600,,,0,0,0,2020-08-24,0.18,0.62,+246.37,2020-11-24
464,MRK,"Merck & Company, Inc.",NYSE,Health Care,Major Pharmaceuticals,2.44,1600041600,,,0,0,0,2020-07-30,1.04,1.37,+31.6,2020-10-27
465,MSB,Mesabi Trust,NYSE,Basic Industries,Precious Metals,0.2,1595980800,,,0,0,0,2020-09-07,-,-,-,
466,MEI,"Methode Electronics, Inc.",NYSE,Capital Goods,Electrical Products,0.44,1594857600,,,0,0,0,2020-09-02,0.26,0.41,+57.69,2020-12-03
467,MCB,Metropolitan Bank Holding Corp.,NYSE,Finance,Major Banks,,,,,1,0,0,2020-07-21,0.79,1.29,+63.29,2020-11-06
468,MFA,"MFA Financial, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,0.2,1601337600,,,0,0,3,2020-06-15,0.14,-2.02,-1574.45,
469,MAA,"Mid-America Apartment Communities, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,4,1594684800,,,2,0,1,2020-07-28,0.54,0.65,+21.27,2020-10-28
470,AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",NYSE,Energy,Oil & Gas Production,0.5,1584057600,,,0,0,0,2020-08-04,-0.05,-2.3,-4793.62,
471,MBT,Mobile TeleSystems OJSC,NYSE,Public Utilities,Telecommunications Equipment,1.15,1594166400,,,0,0,0,2020-08-19,10.21,6.62,-35.18,
472,MOGU,MOGU Inc.,NYSE,Miscellaneous,Business Services,,,,,0,0,0,2020-05-28,-0.93,-0.73,+21.51,
473,MS,Morgan Stanley,NYSE,Finance,Investment Bankers/Brokers/Service,1.4,1596067200,,,4,0,1,2020-07-15,1.12,1.96,+75.47,2020-10-15
474,MOV,Movado Group Inc.,NYSE,Consumer Non-Durables,Consumer Specialties,,1575504000,,,0,0,0,2020-08-26,-0.31,-0.07,+77.42,2020-11-24
475,MSM,"MSC Industrial Direct Company, Inc.",NYSE,Capital Goods,Industrial Machinery/Components,3,1594598400,,,3,0,3,2020-07-07,1.16,1.4,+20.48,2020-10-27
476,MVC,"MVC Capital, Inc.",NYSE,,,0.68,1595462400,,,0,0,0,2020-09-08,0.14,0.05,-64.29,
477,NTP,Nam Tai Property Inc.,NYSE,Finance,Real Estate,,1538006400,,,0,0,0,2020-07-24,-,-,-,
478,NBHC,National Bank Holdings Corporation,NYSE,Finance,Major Banks,0.8,1598486400,,,0,0,1,2020-07-20,0.31,0.62,+101.3,2020-10-20
479,SID,National Steel Company,NYSE,Capital Goods,Steel/Iron Ore,0.07,1588550400,,,0,0,0,2020-07-27,-0.31,0.25,+180.91,
480,NGS,"Natural Gas Services Group, Inc.",NYSE,Energy,Oilfield Services/Equipment,,,,,0,0,0,2020-08-17,-0.15,0.01,+106.45,
481,NNA,Navios Maritime Acquisition Corporation,NYSE,Transportation,Marine Transportation,1.2,1599091200,,,0,0,0,2020-07-29,2.24,2.01,-10.43,
482,NM,Navios Maritime Holdings Inc.,NYSE,Transportation,Marine Transportation,,1442361600,,,0,0,0,2020-08-20,-,-,-,
483,NAV,Navistar International Corporation,NYSE,Capital Goods,Auto Manufacturing,,1003881600,,,0,0,1,2020-09-08,-0.05,-0.37,-670.83,2020-12-15
484,NTST,NetSTREIT Corp.,NYSE,Consumer Services,Real Estate Investment Trusts,0.4,1600041600,,,0,0,0,2020-08-13,-,-,-,
485,NFH,New Frontier Health Corporation,NYSE,Finance,Business Services,,,,,0,0,0,2020-08-26,-,-,-,
486,NRZ,New Residential Investment Corp.,NYSE,Consumer Services,Real Estate Investment Trusts,0.4,1593561600,,,1,0,1,2020-07-21,0.31,0.34,+11.48,2020-10-23
487,NEXA,Nexa Resources S.A.,NYSE,Basic Industries,Precious Metals,0.38,1584057600,,,0,2,2,2020-07-31,-0.55,-0.44,+20,
488,NEP,"NextEra Energy Partners, LP",NYSE,Public Utilities,Electric Utilities: Central,2.31,1596585600,,,0,0,2,2020-07-23,0.36,0.69,+90.61,2020-10-20
489,NEE,"NextEra Energy, Inc.",NYSE,Public Utilities,Electric Utilities: Central,5.6,1598486400,,,2,0,2,2020-07-23,2.52,2.61,+3.78,2020-10-20
490,NKE,"Nike, Inc.",NYSE,Consumer Non-Durables,Shoe Manufacturing,0.98,1598572800,,,9,0,1,2020-06-24,0.07,-0.51,-861.19,2020-12-17
491,NOAH,Noah Holdings Ltd.,NYSE,Finance,Investment Managers,,1363564800,,,0,0,0,2020-08-25,-,-,-,
492,NOK,Nokia Corporation,NYSE,Technology,Radio And Television Broadcasting And Communications Equipment,,1564358400,,,2,0,1,2020-07-30,0.03,0.07,+153.85,
493,JWN,"Nordstrom, Inc.",NYSE,Consumer Services,Clothing/Shoe/Accessory Stores,,1583712000,,,1,0,2,2020-08-24,-1.48,-1.62,-9.24,2020-11-19
494,NOA,North American Construction Group Ltd.,NYSE,Energy,Oilfield Services/Equipment,0.12,1598572800,,,0,0,0,2020-07-28,0.18,0.45,+145.9,
495,NWN,Northwest Natural Holding Company,NYSE,Public Utilities,Oil/Gas Transmission,1.91,1596067200,,,0,0,0,2020-08-06,-0.03,-0.17,-553.85,2020-11-03
496,NVS,Novartis AG,NYSE,Health Care,Major Pharmaceuticals,3.09,1583193600,,,0,0,0,2020-07-20,1.31,1.36,+3.98,
497,NVG,Nuveen AMT-Free Municipal Credit Income Fund,NYSE,,,0.79,1597276800,,,0,0,0,2020-07-07,-,-,-,
498,NEA,Nuveen AMT-Free Quality Municipal Income Fund,NYSE,,,0.68,1597276800,,,0,0,0,2020-07-07,-,-,-,
499,NZF,Nuveen Municipal Credit Income Fund,NYSE,,,0.75,1597276800,,,0,0,0,2020-07-07,-,-,-,
500,BXMX,Nuveen S&P 500 Buy-Write Income Fund,NYSE,,,0.86,1600041600,,,0,0,0,2020-09-04,-,-,-,
501,OCN,Ocwen Financial Corporation,NYSE,Finance,Finance: Consumer Services,,935625600,2020-08-14 00:00:00,1:15,0,0,0,2020-08-03,0.15,24.6,+16300,2020-11-03
502,OFG,OFG Bancorp,NYSE,Finance,Major Banks,0.28,1601337600,,,0,0,0,2020-07-23,0.22,0.39,+77.27,2020-10-19
503,ONE,OneSmart International Education Group Limited,NYSE,Consumer Services,Other Consumer Services,,,,,0,0,0,2020-08-17,-0.11,-,-,
504,OOMA,"Ooma, Inc.",NYSE,Technology,EDP Services,,,,,0,0,0,2020-08-24,0.07,0.13,+78.08,
505,ORCL,Oracle Corporation,NYSE,Technology,Computer Software: Prepackaged Software,0.96,1602028800,,,3,0,4,2020-09-09,0.86,0.93,+7.89,2020-12-10
506,ORC,"Orchid Island Capital, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,0.78,1598572800,,,0,0,0,2020-07-31,0.2,0.73,+265,
507,OXM,"Oxford Industries, Inc.",NYSE,Consumer Non-Durables,Apparel,1,1602720000,,,1,0,0,2020-09-02,-0.61,-0.38,+38.01,2020-12-09
508,PKG,Packaging Corporation of America,NYSE,Consumer Durables,Containers/Packaging,3.16,1600041600,,,0,0,2,2020-07-27,1.28,1.38,+7.64,2020-10-21
509,PD,"PagerDuty, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,,,,,0,0,1,2020-09-01,-0.07,-0.04,+39.39,2020-12-03
510,PAGS,PagSeguro Digital Ltd.,NYSE,Technology,EDP Services,,,,,1,0,0,2020-08-26,0.98,0.93,-4.62,
511,PHX,Panhandle Royalty Company,NYSE,Energy,Oil & Gas Production,0.1,1598400000,,,0,0,0,2020-08-12,-,-,-,2020-12-10
512,PAR,PAR Technology Corporation,NYSE,Miscellaneous,Office Equipment/Supplies/Services,,,,,0,0,0,2020-08-06,-0.39,-0.49,-24.05,
513,PKE,Park Aerospace Corp.,NYSE,Capital Goods,Military/Government/Technical,0.4,1593561600,,,0,0,0,2020-07-08,-,-,-,2020-10-08
514,PRTY,Party City Holdco Inc.,NYSE,Consumer Services,Other Specialty Stores,,,,,1,0,1,2020-06-11,-0.19,-0.28,-49.73,2020-11-05
515,PEB,Pebblebrook Hotel Trust,NYSE,Consumer Services,Real Estate Investment Trusts,0.04,1593388800,,,1,1,3,2020-08-17,-0.9,-1.06,-17.78,
516,PAG,"Penske Automotive Group, Inc.",NYSE,Consumer Durables,Automotive Aftermarket,,1582243200,,,4,0,0,2020-07-28,0.55,0.56,+2.75,2020-10-27
517,PVL,Permianville Royalty Trust,NYSE,Energy,Oil & Gas Production,0.05,1593388800,,,0,0,0,2020-08-07,-,-,-,2020-11-06
518,PTR,PetroChina Company Limited,NYSE,Energy,Oil & Gas Production,1.86,1599782400,,,0,0,0,2020-08-26,-,-,-,
519,PBR,Petroleo Brasileiro S.A.- Petrobras,NYSE,Energy,Oil & Gas Production,0.35,1595462400,,,0,1,1,2020-08-12,-0.25,-0.39,-57.26,
520,PSX,Phillips 66,NYSE,Energy,Integrated oil Companies,3.6,1597622400,,,11,0,1,2020-07-30,-0.92,-0.74,+20,2020-10-23
521,PSXP,Phillips 66 Partners LP,NYSE,Energy,Natural Gas Distribution,3.5,1596067200,,,6,0,3,2020-07-30,0.74,1.05,+42.28,2020-10-23
522,FENG,Phoenix New Media Limited,NYSE,Consumer Services,Broadcasting,,1576454400,,,0,0,0,2020-08-17,-,-,-,2020-11-09
523,PHR,"Phreesia, Inc.",NYSE,Miscellaneous,Business Services,,,,,2,0,0,2020-09-07,-0.13,-0.08,+38.46,
524,PIPR,Piper Sandler Companies,NYSE,Finance,Investment Bankers/Brokers/Service,1.2,1598486400,,,0,0,0,2020-07-30,1.18,1.93,+63.28,2020-10-28
525,PAA,"Plains All American Pipeline, L.P.",NYSE,Energy,Natural Gas Distribution,0.72,1596067200,,,2,2,0,2020-08-03,0.28,0.13,-53.24,2020-11-03
526,PNC,"PNC Financial Services Group, Inc. (The)",NYSE,Finance,Major Banks,4.6,1594857600,,,1,1,4,2020-07-14,0.51,8.4,+1534.24,2020-10-14
527,PPG,"PPG Industries, Inc.",NYSE,Basic Industries,Paints/Coatings,2.16,1596758400,,,6,0,6,2020-07-15,0.71,0.99,+39.24,2020-10-15
528,PGR,Progressive Corporation (The),NYSE,Finance,Property-Casualty Insurers,0.4,1601942400,,,1,0,1,2020-08-19,1.73,1.84,+6.36,2020-12-14
529,PSB,"PS Business Parks, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,4.2,1600041600,,,0,1,0,2020-08-03,0.57,0.93,+63.16,2020-10-20
530,PSTG,"Pure Storage, Inc. ",NYSE,Technology,Electronic Components,,,,,1,0,2,2020-08-24,0.01,0.06,+1100,2020-11-19
531,PVH,PVH Corp.,NYSE,Consumer Non-Durables,Apparel,,1584576000,,,2,0,3,2020-09-01,-2.42,0.13,+105.36,2020-11-23
532,NX,Quanex Building Products Corporation,NYSE,Capital Goods,Metal Fabrications,0.32,1600128000,,,0,0,0,2020-09-02,0.08,0.34,+309.64,2020-12-09
533,RRD,R.R. Donnelley & Sons Company,NYSE,Miscellaneous,Publishing,,1581552000,,,0,0,0,2020-07-27,-0.16,-0.09,+43.75,2020-10-27
534,RRD,R.R. Donnelley & Sons Company,Nasdaq,Miscellaneous,Publishing,,1581552000,,,0,0,0,2020-07-27,-0.16,-0.09,+43.75,2020-10-27
535,RFL,"Rafael Holdings, Inc.",NYSE,Finance,Real Estate,,,,,0,0,0,2020-06-09,-,-,-,
536,RYAM,Rayonier Advanced Materials Inc.,NYSE,Basic Industries,Major Chemicals,,1560384000,,,1,0,1,2020-08-03,-0.32,-0.2,+37.11,2020-11-02
537,RF,Regions Financial Corporation,NYSE,Finance,Major Banks,0.62,1599091200,,,3,0,1,2020-07-16,0.05,-0.25,-590.2,2020-10-20
538,RGS,Regis Corporation,NYSE,Consumer Services,Other Consumer Services,,1383264000,,,0,0,0,2020-06-17,-0.2,-0.12,+40,2020-10-27
539,RGA,"Reinsurance Group of America, Incorporated",NYSE,Finance,Life Insurance,2.8,1597276800,,,1,3,3,2020-08-03,-0.89,1.36,+252.3,
540,RS,Reliance Steel & Aluminum Co.,NYSE,Basic Industries,Metal Fabrications,2.5,1597276800,,,0,0,2,2020-07-22,0.4,1.36,+240,2020-10-22
541,SOL,Renesola Ltd.,NYSE,Technology,Semiconductors,,,,,0,0,0,2020-05-28,-0.03,-0.09,-200,
542,RPAI,"Retail Properties of America, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,0.2,1600905600,,,1,0,1,2020-08-03,0.01,-0.04,-407.69,2020-11-02
543,REVG,"REV Group, Inc.",NYSE,Capital Goods,Auto Manufacturing,0.2,1588118400,,,0,0,0,2020-09-08,0.01,0.1,+1900,2020-12-16
544,REX,REX American Resources Corporation,NYSE,Basic Industries,Major Chemicals,,,,,0,0,0,2020-08-25,-0.26,-0.28,-7.69,
545,RH,RH,NYSE,Consumer Services,Other Specialty Stores,,,,,3,0,0,2020-09-08,3.41,4.9,+43.78,2020-12-02
546,RBA,Ritchie Bros. Auctioneers Incorporated,NYSE,Miscellaneous,Business Services,0.88,1598313600,,,0,0,1,2020-08-05,0.37,0.54,+47.95,
547,RAD,Rite Aid Corporation,NYSE,Health Care,Medical/Nursing Services,,939859200,,,0,0,1,2020-06-24,-0.38,-0.04,+89.47,2020-09-24
548,RLI,RLI Corp.,NYSE,Finance,Property-Casualty Insurers,0.96,1598572800,,,0,0,0,2020-07-21,0.47,0.77,+64.88,2020-10-14
549,RKT,"Rocket Companies, Inc.",NYSE,Finance,Finance: Consumer Services,,,,,0,0,0,2020-09-02,-,-,-,
550,ROK,"Rockwell Automation, Inc.",NYSE,Capital Goods,Industrial Machinery/Components,4.08,1597363200,,,4,1,5,2020-07-27,1.15,1.27,+10.24,2020-11-10
551,RYB,"RYB Education, Inc.",NYSE,Consumer Services,Other Consumer Services,,,,,0,0,0,2020-08-28,-0.63,-0.46,+26.98,
552,SB,"Safe Bulkers, Inc",NYSE,Transportation,Marine Transportation,,1439510400,,,1,0,0,2020-08-03,-0.09,-0.16,-75.82,2020-10-22
553,CRM,Salesforce.com Inc,NYSE,Technology,Computer Software: Prepackaged Software,,,,,4,0,0,2020-08-24,0.67,1.44,+116.22,2020-12-01
554,SBH,"Sally Beauty Holdings, Inc.",NYSE,Consumer Services,Other Specialty Stores,,,,,1,1,2,2020-07-06,-0.05,-0.11,-120,2020-11-05
555,SJT,San Juan Basin Royalty Trust,NYSE,Energy,Oil & Gas Production,,1590624000,,,0,0,0,2020-08-10,-,-,-,2020-11-10
556,SAR,Saratoga Investment Corp,NYSE,,,1.6,1595548800,,,2,0,0,2020-07-07,-1.38,-2.02,-46.8,
557,SLB,Schlumberger N.V.,NYSE,Energy,Oilfield Services/Equipment,0.5,1598918400,,,2,0,4,2020-07-23,-0.01,0.05,+484.62,2020-10-16
558,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,NYSE,Technology,EDP Services,1.48,1602720000,,,0,0,0,2020-09-01,1.44,1.63,+13.27,2020-12-03
559,SE,Sea Limited,NYSE,Consumer Services,Other Consumer Services,,,,,1,0,0,2020-08-17,-0.41,-0.68,-65.85,
560,SLQT,"SelectQuote, Inc.",NYSE,Finance,Specialty Insurers,,,,,0,0,0,2020-09-08,0.03,0.13,+282.35,
561,SXT,Sensient Technologies Corporation,NYSE,Basic Industries,Major Chemicals,1.56,1596153600,,,0,0,0,2020-07-16,0.67,0.7,+5.26,2020-10-16
562,SFL,SFL Corporation Ltd,NYSE,Transportation,Marine Transportation,1,1600214400,,,0,0,2,2020-08-17,0.22,0.11,-50.23,2020-11-19
563,SJR,Shaw Communications Inc.,NYSE,Consumer Services,Television Services,0.87,1602633600,,,0,0,1,2020-07-09,0.3,0.35,+17.45,
564,SIG,Signet Jewelers Limited,NYSE,Consumer Services,Consumer Specialties,,1580342400,,,0,0,0,2020-09-02,-2.07,-1.13,+45.41,2020-12-03
565,SITC,SITE Centers Corp.,NYSE,Consumer Services,Real Estate Investment Trusts,,1583712000,,,0,0,4,2020-07-27,-,-0.05,-1766.67,2020-10-28
566,WORK,"Slack Technologies, Inc.",NYSE,Consumer Services,Other Consumer Services,,,,,0,1,0,2020-09-07,-0.03,-,+100,2020-12-02
567,SMAR,Smartsheet Inc.,NYSE,Technology,Computer Software: Prepackaged Software,,,,,5,0,0,2020-09-01,-0.16,-0.06,+62.73,2020-12-02
568,SNAP,Snap Inc.,NYSE,Technology,"Computer Software: Programming, Data Processing",,,,,13,1,4,2020-07-20,-0.09,-0.09,+1.1,2020-10-20
569,SQM,Sociedad Quimica y Minera S.A.,NYSE,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),1.07,1588118400,,,0,1,1,2020-08-18,0.2,-,-,
570,SAH,"Sonic Automotive, Inc.",NYSE,Consumer Durables,Automotive Aftermarket,0.4,1600041600,,,1,0,3,2020-07-29,0.31,0.65,+108.33,2020-10-22
571,SON,Sonoco Products Company,NYSE,Consumer Durables,Containers/Packaging,1.72,1596758400,,,2,0,4,2020-07-15,0.77,0.79,+2.6,2020-10-22
572,LUV,Southwest Airlines Company,NYSE,Transportation,Air Freight/Delivery Services,,1583193600,,,7,0,1,2020-07-22,-2.66,-2.67,-0.49,2020-10-22
573,SPR,"Spirit Aerosystems Holdings, Inc.",NYSE,Capital Goods,Military/Government/Technical,0.04,1599782400,,,0,1,5,2020-08-03,-1.33,-2.28,-71.95,2020-10-29
574,SAVE,"Spirit Airlines, Inc.",NYSE,Transportation,Air Freight/Delivery Services,,,,,3,1,1,2020-07-21,-2.66,-3.59,-35.11,2020-10-21
575,SAVE,"Spirit Airlines, Inc.",Nasdaq,Transportation,Air Freight/Delivery Services,,,,,3,1,1,2020-07-21,-2.66,-3.59,-35.11,2020-10-21
576,SRT,"StarTek, Inc.",NYSE,Technology,Professional Services,,1163376000,,,1,0,0,2020-06-09,0.03,-0.69,-2190.91,
577,STT,State Street Corporation,NYSE,Finance,Major Banks,2.08,1593475200,,,0,2,5,2020-07-16,1.61,1.88,+16.7,2020-10-16
578,SCS,Steelcase Inc.,NYSE,Consumer Durables,Office Equipment/Supplies/Services,0.4,1594080000,,,0,0,1,2020-06-29,-0.14,-0.18,-31.39,2020-12-15
579,SCL,Stepan Company,NYSE,Basic Industries,Package Goods/Cosmetics,1.1,1598572800,,,1,0,0,2020-07-21,1.2,1.65,+37.5,2020-10-21
580,STL,Sterling Bancorp,NYSE,Finance,Major Banks,0.28,1596153600,,,0,0,1,2020-07-21,0.31,0.29,-4.92,2020-10-21
581,STC,Stewart Information Services Corporation,NYSE,Finance,Specialty Insurers,1.2,1600041600,,,0,0,0,2020-07-21,0.45,1.37,+204.44,2020-10-20
582,MSC,Studio City International Holdings Limited,NYSE,Consumer Services,Hotels/Resorts,,,,,0,0,0,2020-08-19,-2.84,-1.51,+46.94,
583,SYF,Synchrony Financial,NYSE,Finance,Finance: Consumer Services,0.88,1596153600,,,3,0,4,2020-07-20,0.15,0.06,-59.46,2020-10-16
584,SNX,Synnex Corporation,NYSE,Technology,Retail: Computer Software & Peripheral Equipment,,1579737600,,,0,0,0,2020-06-24,-0.77,1.83,+338.59,2020-09-22
585,SNV,Synovus Financial Corp.,NYSE,Finance,Major Banks,1.32,1600214400,,,4,0,0,2020-07-20,0.06,0.23,+318.18,2020-10-20
586,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,NYSE,Technology,Semiconductors,1.7,1600300800,,,0,0,0,2020-07-15,0.77,0.78,+1.69,
587,TAK,Takeda Pharmaceutical Company Limited,NYSE,Health Care,Major Pharmaceuticals,0.84,1585526400,,,0,0,0,2020-07-30,104,26.47,-74.55,
588,TGT,Target Corporation,NYSE,Consumer Services,Department/Specialty Retail Stores,2.72,1597708800,,,5,0,6,2020-08-18,1.62,3.38,+108.38,2020-11-18
589,TISI,"Team, Inc.",NYSE,Consumer Services,Other Consumer Services,,728697600,,,2,0,0,2020-06-16,-0.52,-0.59,-14.12,
590,TEO,Telecom Argentina Stet - France Telecom S.A.,NYSE,Public Utilities,Telecommunications Equipment,0.99,1571356800,,,0,1,0,2020-08-13,-0.13,-0.03,+80,
591,TRNO,Terreno Realty Corporation,NYSE,Finance,Real Estate,1.16,1601510400,,,1,0,1,2020-07-09,0.24,0.45,+87.5,
592,AES,The AES Corporation,NYSE,Basic Industries,Electric Utilities: Central,0.57,1596153600,,,3,0,0,2020-08-05,0.23,0.25,+8.7,2020-11-04
593,AZEK,The AZEK Company Inc.,NYSE,Consumer Non-Durables,Plastic Products,,,,,0,0,0,2020-08-12,0.1,0.13,+25,
594,BK,The Bank Of New York Mellon Corporation ,NYSE,Finance,Major Banks,1.24,1595548800,,,1,2,3,2020-07-14,0.91,1.01,+10.62,2020-10-16
595,BX,The Blackstone Group Inc.,NYSE,Finance,Investment Managers,1.86,1596153600,,,0,0,0,2020-07-22,0.43,0.43,-0.92,2020-10-21
596,SCHW,The Charles Schwab Corporation,NYSE,Finance,Investment Bankers/Brokers/Service,0.72,1596672000,,,3,0,8,2020-07-15,0.53,0.48,-9.09,2020-10-13
597,COO,"The Cooper Companies, Inc. ",NYSE,Health Care,Ophthalmic Goods,0.06,1595376000,,,1,0,1,2020-09-02,1.52,2.28,+49.7,2020-12-03
598,TIF,Tiffany & Co.,NYSE,Consumer Services,Consumer Specialties,2.32,1600387200,,,0,0,0,2020-08-26,0.19,0.32,+65.8,2020-12-03
599,TLYS,"Tilly&#39;s, Inc.",NYSE,Consumer Services,Clothing/Shoe/Accessory Stores,,1581379200,,,1,0,0,2020-09-02,-0.17,0.18,+207.14,2020-12-02
600,TJX,"TJX Companies, Inc. (The)",NYSE,Consumer Services,Clothing/Shoe/Accessory Stores,,1581465600,,,8,0,2,2020-08-18,-0.1,-0.18,-80,2020-11-17
601,TOL,"Toll Brothers, Inc.",NYSE,Capital Goods,Homebuilding,0.44,1594252800,,,3,1,2,2020-08-24,0.71,0.9,+27.48,2020-12-07
602,TR,"Tootsie Roll Industries, Inc.",NYSE,Consumer Non-Durables,Specialty Foods,0.36,1591920000,,,0,0,0,2020-07-23,-,-,-,
603,TTC,Toro Company (The),NYSE,Capital Goods,Tools/Hardware,1,1592524800,,,0,0,0,2020-09-02,0.55,0.82,+49.64,2020-12-16
604,TD,Toronto Dominion Bank (The),NYSE,Finance,Commercial Banks,2.4,1602115200,,,0,0,0,2020-08-26,1.19,1.25,+4.87,
605,TSQ,"Townsquare Media, Inc.",NYSE,Consumer Services,Broadcasting,0.3,1585699200,,,0,0,0,2020-06-15,0.1,-0.02,-120,
606,TCI,"Transcontinental Realty Investors, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,,968976000,,,0,0,0,2020-08-14,-,-,-,2020-11-13
607,TG,Tredegar Corporation,NYSE,Capital Goods,Metal Fabrications,0.48,1600300800,,,0,0,0,2020-08-06,-,-,-,
608,TY,Tri Continental Corporation,NYSE,,,1.05,1600128000,,,0,0,0,2020-09-15,-,-,-,
609,TPH,"TRI Pointe Group, Inc.",NYSE,Capital Goods,Homebuilding,,,,,0,0,2,2020-07-23,0.31,0.43,+39.61,
610,TRTN,Triton International Limited,NYSE,Technology,Diversified Commercial Services,2.08,1599609600,,,0,0,0,2020-07-23,0.78,0.86,+10.26,
611,TFC,Truist Financial Corporation,NYSE,Finance,Major Banks,1.8,1597276800,,,5,0,2,2020-07-15,0.72,0.82,+13.89,2020-10-15
612,TNP,Tsakos Energy Navigation Ltd,NYSE,Transportation,Marine Transportation,0.5,1592524800,2020-07-01 00:00:00,1:5,0,0,0,2020-06-10,2.01,0.6,-70.19,2020-11-24
613,TUP,Tupperware Brands Corporation,NYSE,Consumer Non-Durables,Plastic Products,,1568678400,,,0,0,1,2020-07-28,0.14,0.84,+500,2020-10-28
614,TKC,Turkcell Iletisim Hizmetleri AS,NYSE,Public Utilities,Telecommunications Equipment,0.4,1572480000,,,0,0,0,2020-08-12,-,-,-,
615,TPB,"Turning Point Brands, Inc.",NYSE,Consumer Non-Durables,Tobacco,0.2,1600300800,,,0,0,0,2020-07-27,0.45,0.71,+57.78,
616,USB,U.S. Bancorp,NYSE,Finance,Major Banks,1.68,1593388800,,,3,3,3,2020-07-14,0.22,0.41,+84.68,2020-10-14
617,UI,Ubiquiti Inc.,NYSE,Technology,Radio And Television Broadcasting And Communications Equipment,1.6,1598572800,,,0,0,0,2020-08-20,1.37,1.46,+6.65,2020-11-06
618,UBS,UBS AG,NYSE,Finance,Major Banks,0.36,1588723200,,,0,0,0,2020-07-20,0.21,0.33,+57.14,
619,UA,"Under Armour, Inc.",NYSE,Consumer Non-Durables,Apparel,,,,,0,0,0,2020-07-30,-0.41,-0.31,+24.39,
620,UAA,"Under Armour, Inc.",NYSE,Consumer Non-Durables,Apparel,,,,,4,1,5,2020-07-30,-0.41,-0.31,+24.21,2020-11-02
621,UNF,Unifirst Corporation,NYSE,Consumer Services,Other Consumer Services,1,1599091200,,,0,0,1,2020-06-30,1.25,1.12,-10.4,2020-10-21
622,UNFI,"United Natural Foods, Inc.",NYSE,Consumer Non-Durables,Food Distributors,,,,,0,0,6,2020-06-09,1.14,1.4,+22.7,2020-12-09
623,UNFI,"United Natural Foods, Inc.",Nasdaq,Consumer Non-Durables,Food Distributors,,,,,0,0,6,2020-06-09,1.14,1.4,+22.7,2020-12-09
624,UNH,UnitedHealth Group Incorporated,NYSE,Health Care,Medical Specialities,5,1599782400,,,6,0,1,2020-07-14,5.28,7.12,+34.93,2020-10-13
625,UBA,Urstadt Biddle Properties Inc.,NYSE,Consumer Services,Real Estate Investment Trusts,0.56,1601510400,,,0,0,1,2020-09-07,0.14,0.04,-70.37,
626,UBP,Urstadt Biddle Properties Inc.,NYSE,Consumer Services,Real Estate Investment Trusts,0.5,1601510400,,,0,0,0,2020-09-08,-,-,-,
